ClientId,InvestmentGoal,TargetAmount,Contribution
10001,Retirement,500000,250000
10001,Home Purchase,300000,150000
10001,Debt Repayment,25000,10800
10002,Estate planning,500000,298000
10002,Retirement,600000,250897
10002,Children Education,95000,36000
10003,Home Purchase,450000,158000
10003,Travel,15500,3500
10003,Wedding,35000,18000
10004,Family Planning,150000,78000
10004,Childcare Expenses,45000,35000
10004,New Car,50000,24000
10005,Retirement,1000000,250000
10005,Children Education,50000,26000
10005,Charitable Giving,10000,3000
10006,Health and Wellness,10000,3500
10006,Entrepreneurship,600000,234500
10006,Retirement,800000,345000
