ClientId,AssetDate,Investment,ROI,Revenue,AssetType
10001,8/1/2023,231720,0.09,253015.07,Others
10001,10/1/2023,231902,0.1,254303.73,Others
10001,6/1/2023,208525,0.1,228522.55,Others
10001,9/1/2023,231720,0.08,250628.35,Others
10001,11/1/2023,253964,0.08,273570.02,Others
10001,12/1/2023,253964,0.08,273570.02,Others
10001,7/1/2023,208525,0.06,221161.62,Others
10001,5/1/2023,207146,0.08,223241.24,Others
10002,12/1/2023,130119,0.12,145095.7,Others
10002,11/1/2023,130119,0.11,144093.78,Others
10002,10/1/2023,130119,0.1,143078.85,Others
10002,9/1/2023,130119,0.08,140008.04,Others
10002,8/1/2023,130119,0.07,139474.56,Others
10002,5/1/2023,129081,0.07,137935.96,Others
10002,7/1/2023,130119,0.06,137783.01,Others
10002,6/1/2023,128425,0.05,135013.2,Others
10003,8/1/2023,314462,0.08,338203.88,Others
10003,10/1/2023,315164,0.07,336595.15,Others
10003,9/1/2023,314462,0.07,335813.97,Others
10003,11/1/2023,314970,0.07,336135.98,Others
10003,12/1/2023,314970,0.07,336135.98,Others
10003,6/1/2023,221071,0.08,239110.39,Others
10003,5/1/2023,221149,0.08,239128.41,Others
10003,7/1/2023,221416,0.08,239306.41,Others
10004,10/1/2023,225304,0.11,249929.73,Others
10004,11/1/2023,225304,0.09,245964.38,Others
10004,6/1/2023,225304,0.09,245558.83,Others
10004,12/1/2023,225304,0.08,244297.13,Others
10004,5/1/2023,225304,0.08,244049.29,Others
10004,8/1/2023,225304,0.06,238304.04,Others
10004,9/1/2023,225304,0.06,238011.15,Others
10004,7/1/2023,225304,0.05,237290.17,Others
10005,5/1/2023,344203,0.03,353186.7,Others
10005,6/1/2023,344203,-0.03,271017.5,Others
10006,7/1/2023,648406,0.24,806487.38,Others
10006,5/1/2023,706329,0.06,748638.11,Others
10006,6/1/2023,706329,0.06,748638.11,Others
10006,9/1/2023,698401,0.05,734089.29,Others
10006,11/1/2023,701173,0.06,740789.27,Others
10006,12/1/2023,701173,0.05,736231.65,Others
10006,10/1/2023,698401,0.04,725219.6,Others
10006,8/1/2023,784570,0.0,783236.23,Others
10005,7/1/2023,344203,-0.03,271201.39,Others
10005,8/1/2023,344203,-0.03,248584.89,Others
10005,9/1/2023,344203,0.03,243314.73,Others
10005,10/1/2023,344203,-0.03,229464.29,Others
10005,11/1/2023,344203,0.03,224293.31,Others
10005,12/1/2023,344203,-0.01,214407.0,Others
10001,7/1/2023,231654,0.05,244279.14,Cash
10001,7/1/2023,249460,0.51,375761.6,Equities
10001,7/1/2023,249460,0.05,262082.68,Bonds
10002,7/1/2023,126945,0.06,134612.48,Cash
10002,7/1/2023,126945,0.6,203594.39,Equities
10002,7/1/2023,126945,0.06,134612.48,Bonds
10003,7/1/2023,364892,0.05,382771.71,Cash
10003,7/1/2023,243674,0.73,422579.45,Equities
10003,7/1/2023,335669,0.05,353560.16,Bonds
10005,7/1/2023,47121,-0.37,14925.05,Cash
10005,7/1/2023,108375,-0.88,11770.68,Equities
10006,7/1/2023,895974,0.18,45678.0,Cash
10006,7/1/2023,1061368,1.49,59845.0,Equities
10006,7/1/2023,1032002,0.15,102456.0,Bonds
