ClientId,AssetDate,AssetType,Investment,ROI,RevenueWithoutStrategy
10001,12/1/2023,Cash assets,126945,11.79,141911.82
10001,12/1/2023,Equities assets,126945,117.93,276651.24
10001,12/1/2023,Other assets,103119,11.51,145095.70
10001,11/1/2023,Taxables bonds assets,126945,11.21,244449.59
10001,11/1/2023,Cash assets,130119,10.74,144093.78
10002,8/1/2023,Taxables bonds assets,231654,5.45,244279.17
10002,8/1/2023,Equities assets,250506,64.28,411531.26
10002,8/1/2023,Other assets,221071,8.16,239110.39
10002,10/1/2023,Equities assets,334506,53.74,514269.52
10002,10/1/2023,Taxables bonds assets,250506,6.43,266613.54
10003,8/1/2023,Other assets,221071,8.16,239110.39
10003,8/1/2023,Cash assets,468539,5.72,495339.43
10003,8/1/2023,Equities assets,249460,5.06,262082.68
10003,8/1/2023,Other assets,24086,28.27,30895.11
10003,8/1/2023,Taxables bonds assets,100496,67.76,168592.09
10004,5/1/2023,Equities assets,217486,3.13,224293.31
10004,5/1/2023,Cash assets,126945,11.21,244449.59
10004,5/1/2023,Equities assets,130119,10.74,144093.78
10004,5/1/2023,Other assets,231654,5.45,244279.17
10004,5/1/2023,Taxables bonds assets,250506,6.43,266613.54
10004,5/1/2023,Cash assets,541039,7.32,580643.05
10005,9/1/2023,Cash assets,23956,30.77,31327.26
10005,9/1/2023,Equities assets,100366,73.44,174074.79
10005,9/1/2023,Other assets,235953,3.12,243314.73
10005,9/1/2023,Taxables bonds assets,15655,47.08,23025.37
10005,9/1/2023,Cash assets,24086,28.27,30895.11
10005,5/1/2023,Equities assets,100496,67.76,168592.09
10005,5/1/2023,Other assets,217486,3.13,224293.31
10005,5/1/2023,Taxables bonds assets,15675,43.44,22484.22
10006,9/1/2023,Equities assets,342289,11.58,381926.07
10006,9/1/2023,Other assets,701173,5.00,736231.65
10006,9/1/2023,Taxables bonds assets,343837,10.37,379492.90
10006,11/1/2023,Cash assets,706433,56.10,1102741.91
10006,11/1/2023,Equities assets,541039,7.32,580643.05
10006,11/1/2023,Other assets,701173,5.65,740789.27
